0	1	10	11	12	13	14	2	3	4	5	6	7	8	9
Ces1h	Muc5b	9530034E10Rik	Ccdc34	Emp1	Ifit2	Nkapd1	Scgb1a1	Gpm6b	Rnf227	Iqub	Kif20a	Fmo2	Art4	Nudt4
4930519L02Rik	Nek5	Ldhb	Sema5a	Col4a4	Spef1	Ccdc191	Gm15728	Gclc	Cd63	Ccdc40	Tbc1d31	Cib1	Car6	Gstt1
Glrx	Mdm1	Nat9	Agrp	Dnase1l2	Cfap77	Kifap3	Nek1	Ldhb	Car6	Tcp11	Smc2	Ift43	Hbegf	Ldhb
Syt5	Dnah7c	Krt15	Ppp1r35	Bst2	Igfbp7	Ccp110	ENSMUSG00000120992	Igfbp5	Fkbp11	Cfap46	Cep128	Lamb3	Clec12a	Tekt2
Ces1f	Lrrc74b	Tgfb3	Mgp	Cdkn1c	Mmd	Vit	Cbr3	Nebl	Sprr1a	Efcab1	4930523C07Rik	Pcsk5	Dclk1	Fn1
Hbegf	C230072F16Rik	Esam	Aebp1	A730020E08Rik	Tnfsf9	Syt5	Ifi44	Il33	Cxcl2	Spag17	Icam1	Porcn	Isg15	Scara3
Nudt4	Rsph14	Hells	Catsperd	Psip1	Crip2	Ppdpf	9530053A07Rik	Slc23a2	Calb2	Ccdc57	Ropn1l	Clca3a2	Itgb6	Knstrn
Blvrb	Gm15411	Tmprss2	Psmd11	Dcaf17	Znhit1	Akr7a5	Cftr	Pam16	Defb1	Odad1	Agrp	Mmd	Gm29508	Hoxaas2
1810008I18Rik	Zbbx	Shh	Cct7	Crip2	Rrm2	Gm29538	Fkbp7	Spef1	Wfdc17	Armc3	Ifi27l2a	Prc1	4930519L02Rik	Pon1
Krt23	Ccdc191	Slc16a11	Selenop	Poc1a	Tspan11	Las1l	Tmprss2	Tubb6	Klhdc9	Dnai1	Mylpf	Ckap2l	Nqo1	Lox
Mt3	Lrg1	Edn1	Gtf2b	Ccdc61	Cenpe	Dhrs9	Calml3	Ccn1	Nudt4	Lrrc46	Rnase4	Emp3	Strbp	Riiad1
Mndal	Ift57	Rasgef1a	Ace	Tnnt2	Poc1a	Ubxn11	Dclk1	Dennd3	Iigp1	Mlf1	Dcbld2	Tmem212	Lgals3bp	Apol9b
Gadd45g	ENSMUSG00000121112	Renbp	H2-Eb1	Ccdc3	Sgo2a	Swi5	Samd5	Icam1	Akr1c18	Rnf32	Hoxaas3	Dhfr	Tmem138	Krt17
Hspa4l	Zfp474	Xylb	Rsad2	Tgfb3	Ccp110	Ube2t	Col17a1	Shh	Cyp1b1	Rsph4a	Tnc	Ccdc3	Hspa4l	Cfap20
Steap4	Panct2	Timp3	Rab36	Tedc1	Uhrf1	Ttc12	Lias	Tnfrsf9	Pnpo	Rptoros	Rad51ap1	Mcm3	Cyp4b1	AA986860
St6galnac5	Cfap45	Cyp2b10	Pon1	Gpm6b	Mid1ip1	Cep135	Tmem231	Rnf144a	Gm16006	Fam229b	Ccdc15	Cbarp	Ereg	Cpm
Ccdc74a	Mns1	Angptl2	Mki67	Tyms	Nebl	Dapl1	Gm15848	Itga9	Tmem29	Hydin	Uhrf1	Lbh	Tnip3	Layn
Fam166b	Bok	Ctxn1	Sugt1	Iqck	Hc	Sugt1	B3galt2	Clic3	1700001L19Rik	Ppil6	Msln	Nr4a1	Tmem212	Plat
Gna14	Layn	Mdm2	Gm1673	Snhg11	Calm3	Pcm1	Mylpf	Egfl6	9530034E10Rik	Cfap157	Oscp1	Cyp4b1	Cfap77	Isyna1
