0	1	10	11	12	13	14	2	3	4	5	6	7	8	9
Crispld2	Cep126	Blvrb	Tbx2	Ifi211	Kif20a	Zeb2	Arhgdib	Napsa	Eno4	Akap14	Tacc3	Serpine2	Aldh3a1	Igfbp7
Ednrb	Mid1ip1	Areg	Cxcl14	Tpm2	Lcn2	Gpm6b	Sult1c1	Col4a2	Iah1	ENSMUSG00000120458	Top2a	Nrg1	Col3a1	Mgp
Efcab1	Rpgrip1l	Edn1	Nid2	Lif	Slco2a1	Ecm1	Ankrd37	Ldhb	Ccpg1os	Drc1	Prc1	Clic5	Col18a1	Fbn1
Efcab10	Dusp18	Gm3776	Tbx5	Arg1	Top2a	Sprr2b	Tnip3	Cd302	Cfap46	Ppp1r42	Cdkn3	Lrp1	Serpine2	Fstl1
Efcab11	Mycbp	AA986860	Mustn1	Vcam1	Esco2	Dcn	Reg1	Nectin3	Pih1d2	Cfap161	Cenpe	Tmem45b	Nrg1	Cyp26b1
Efcab12	1700013F07Rik	Cldn18	Fst	Tnfrsf11b	Car2	Col3a1	Lcn2	Cgnl1	Ift46	BC051019	Smc2	Mcm3	Clic5	Zeb2
Dydc2	Cfap126	Klf6	Cyp1b1	Nrp2	Spc24	Col18a1	Alas1	Plxna4	1700013F07Rik	Akr1b8	Ccnb2	Icam1	Fetub	Cpm
Edn1	Nme5	Arl4c	Kcnj8	Csf2	Ccnb2	Serpine2	Retnlb	Lrp2	Gm28729	Rsf1os1	Ckap2	Timp1	Lrp1	Gpm6b
Efcab2	Znhit1	Gclc	Nnmt	Pmaip1	Nebl	Nrg1	Stc1	Tmem243	Sugt1	Fank1	Knstrn	Rad51	Oasl2	Ecm1
Efhb	Cdiptos	Ccn1	Selenop	Fn1	Tk1	Clic5	Pi15	Slco2a1	Cfap100	Tal2	Fam111a	Slc39a14	Ifit2	Sprr2b
Efhc1	Ankrd45	Ndnf	Ppp1r3a	Prss22	Kcne2	Lrp1	Upk3a	Rgcc	Efcab12	Dnajb13	Cdca8	Krt20	Tmem45b	Dcn
Egfl6	Dynlrb2	Rsad2	Eva1b	Aldh1a3	Melk	Timp1	Ero1a	Limch1	Chchd6	Ccno	Clspn	Mylpf	Timp1	Adgrg6
Egr3	Gm12695	Emp2	Synpo	Emp1	Errfi1	Slc39a14	Dclk1	Mme	Kif21a	Glipr1	Pclaf	Serping1	Slc39a14	Col3a1
Crip2	Gm14488	Resp18	Ccl8	Plekhs1	Lrrk2	Krt20	Gadd45g	Kank2	Calm3	Morn5	Kif23	Cenpk	Krt20	Col18a1
Eif2b2	Cep83	Fam189a2	Tslp	Cwh43	Cenpk	Mylpf	Kctd14	AA986860	Cfap91	Tmem216	Cdca2	Sema5a	Mylpf	Serpine2
Crip1	Bbof1	Srxn1	Cyria	Inhba	Cenpe	Serping1	Ndrg1	Selenop	Myl1	1110032A03Rik	Incenp	Neb	Serping1	Nrg1
